kappa,beta,algorithm,scenarios,fairness_nrmse_worst_scenario,fairness_rmse_updates_worst_scenario,jain_min_scenario,jain_regret_worst_scenario,cohort_ratio_min_scenario,cohort_ratio_max_scenario,oracle_cohort_ratio_min_scenario,oracle_cohort_ratio_max_scenario,entropy_ratio_min_scenario,shuffle_kl_worst_scenario,gradient_ratio_mean_worst_scenario,gradient_ratio_field_worst_scenario,temporal_w1_ratio_worst_scenario,admission_tracking_nrmse_worst_scenario,admission_pool_rate_cv_worst_scenario,budget_violation_worst_scenario,constraint_violation_factor,meets_all_quality_constraints
32,0.0,ercb_beta_0,3,0.8665820562004121,26.260062309103397,0.5554054874730588,0.4275513515474443,0.2042009884678748,0.30730820999917713,0.9666666666666667,1.0,1.0000000000000002,-1.3421817473916548e-16,1.1674676018461954,1.301985946034541,1.042427992221332,0.0,0.005641859308041948,0.0,42.75513515474443,False
32,0.0025,ercb_beta_0p0025,3,0.8245292385640691,24.98573450194149,0.5785070049829943,0.4044498340375087,0.23009189706078959,0.3294370713741427,0.9666666666666667,1.0,0.9996397342944543,0.000282148313533245,1.1149289015024648,1.2553996929141684,1.0584071680710976,0.0,0.005641859308041948,0.0,40.444983403750875,False
32,0.005,ercb_beta_0p005,3,0.7906411743736462,23.958823465868072,0.597808567970004,0.3851482710504991,0.2519203175069398,0.34556362054280454,0.9666666666666667,1.0,0.998866960912401,0.0009600529185110611,1.196635499402059,1.3816041824042324,1.1185405058542348,0.0,0.005641859308041948,0.0,38.51482710504991,False
32,0.0075,ercb_beta_0p0075,3,0.7599034690969384,23.027377851422376,0.6155810012598807,0.36737583776062244,0.27232514740087627,0.3520843908629442,0.9666666666666667,1.0,0.9978557483079331,0.0018797790230861222,1.3766839416221908,1.6494120914937773,1.2020234716458904,0.0,0.005641859308041948,0.0,36.737583776062245,False
32,0.01,ercb_beta_0p01,3,0.7302558001733437,22.128963641616476,0.6331433646166147,0.34981347440388844,0.29746274076554174,0.37392055267702934,0.9666666666666667,1.0,0.996500095608057,0.0032212832274018505,1.6188399860518277,2.1360693374441695,1.3125603049147494,0.0,0.005641859308041948,0.0,34.981347440388845,False
32,0.0125,ercb_beta_0p0125,3,0.7050466177270228,21.365049022030995,0.6482863276242306,0.3346705113962726,0.3128904753434404,0.41029028479899265,0.9666666666666667,1.0,0.9950278703290316,0.004694801975483623,1.84139697303785,2.4558044775934884,1.4475197372885782,0.0,0.005641859308041948,0.0,33.46705113962726,False
32,0.015,ercb_beta_0p015,3,0.679450636315745,20.58941322168924,0.6637532065932289,0.31920363242727423,0.3309831815048577,0.42202665870884315,0.9666666666666667,1.0,0.9932445837890184,0.0063392394119942495,2.0389121536729236,2.9724222402955434,1.571518172533327,0.0,0.005641859308041948,0.0,31.920363242727422,False
32,0.02,ercb_beta_0p02,3,0.6372639659034873,19.31102926980265,0.6896798935825672,0.2932769454379359,0.36718499550902645,0.4561651387567467,0.9666666666666667,1.0,0.9895055064747331,0.010040433391652039,2.7277007022107744,4.013630663399731,1.8572631816773653,0.0,0.005641859308041948,0.0,29.32769454379359,False
32,0.03,ercb_beta_0p03,3,0.5671143799422522,17.18528424067431,0.7334193114809759,0.2495375275395272,0.4398059397203584,0.5090101662288297,0.9666666666666667,1.0,0.9807222117643848,0.018592863405376366,4.018491929997428,6.5806530316445215,2.3807294392450222,0.0,0.005641859308041948,0.0,24.95375275395272,False
32,0.05,ercb_beta_0p05,3,0.4614111543512409,13.982156192461847,0.7985526460993536,0.18440419292114948,0.5418302494987182,0.6062659338045652,0.9666666666666667,1.0,0.9592218458666717,0.03985453460816766,7.399550488678484,12.35612386805273,3.3403271748461916,0.0,0.005641859308041948,0.0,18.44041929211495,False
