uid,left_uid,right_uid,interval_frames,alpha_uid,beta_time,endpoint_fraction,endpoint_rotation_deg,endpoint_rotation_deg_per_second,gyro_endpoint_disagreement_deg,gyro_curvature_deg,original_translation_error_m,original_rotation_error_deg,final_endpoint_slerp_rotation_error_deg,final_endpoint_imu_right_rotation_error_deg,final_endpoint_imu_left_rotation_error_deg,final_endpoint_imu_shape_right_rotation_error_deg,final_endpoint_imu_shape_left_rotation_error_deg,imu_right_improvement_deg,imu_left_improvement_deg,imu_shape_right_improvement_deg,imu_shape_left_improvement_deg
1,0,90,90,0.011111111111111112,0.011080344290124989,0.011111111111111112,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.007197389623726586,0.0004990800667759085,0.0,0.002144242951691649,0.0,0.0,0.0,0.0,0.002144242951691649,0.002144242951691649,0.002144242951691649,0.002144242951691649
2,0,90,90,0.022222222222222223,0.02216005321208391,0.022222222222222223,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.01477759421719949,0.000739877488578383,0.0,0.009244263566833166,0.0,0.0,0.0,0.0,0.009244263566833166,0.009244263566833166,0.009244263566833166,0.009244263566833166
3,0,90,90,0.03333333333333333,0.033240000397105104,0.03333333333333333,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.022491748425904665,0.0003827170731419181,0.0,0.017340948528069524,0.0,0.0,0.0,0.0,0.017340948528069524,0.017340948528069524,0.017340948528069524,0.017340948528069524
4,0,90,90,0.044444444444444446,0.04431939163498099,0.044444444444444446,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.030206948200924885,0.0012333972758807761,0.0,0.021493232769855958,0.0,0.0,0.0,0.0,0.021493232769855958,0.021493232769855958,0.021493232769855958,0.021493232769855958
6,0,90,90,0.06666666666666667,0.06647777700562897,0.06666666666666667,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.0432656504156005,0.0005571205569951302,0.0,0.03967456304565291,0.005573380873031764,0.005779002913091107,0.005683346142816661,0.005669966517992975,0.03410118217262115,0.0338955601325618,0.03399121690283625,0.034004596527659935
7,0,90,90,0.07777777777777778,0.07755677113840105,0.07777777777777778,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.04988702491986823,0.0007130389251282787,0.0,0.04393412656177232,0.0,0.0,0.0,0.0,0.04393412656177232,0.04393412656177232,0.04393412656177232,0.04393412656177232
8,0,90,90,0.08888888888888889,0.0886352887450486,0.08888888888888889,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.056523028016659066,0.0005528461618522253,0.0,0.055093884240509296,0.0,0.0,0.0,0.0,0.055093884240509296,0.055093884240509296,0.055093884240509296,0.055093884240509296
9,0,90,90,0.1,0.09971388577271689,0.1,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.0639913626781827,0.0010852586153114376,0.0,0.058361808328992584,0.0,0.0,0.0,0.0,0.058361808328992584,0.058361808328992584,0.058361808328992584,0.058361808328992584
11,0,90,90,0.12222222222222222,0.12187004735478363,0.12222222222222222,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.08016557097031332,0.0009885287172320568,0.0,0.07312549555376036,0.00503062559481231,0.005518922553835036,0.00530727921621828,0.005248258898918789,0.06809486995894805,0.06760657299992531,0.06781821633754208,0.06787723665484156
12,0,90,90,0.13333333333333333,0.13294808843530662,0.13333333333333333,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.08765050503693173,0.0007823149070893966,0.0,0.08158763582430292,0.002489584628495627,0.0031758162509865945,0.002892153154745298,0.0028024144229153187,0.07909805119580729,0.07841181957331633,0.07869548266955763,0.0787852214013876
13,0,90,90,0.14444444444444443,0.144031927250345,0.14444444444444443,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.09366265751952446,0.00044157969763242735,0.0,0.08948713240172931,0.0,0.0,0.0,0.0,0.08948713240172931,0.08948713240172931,0.08948713240172931,0.08948713240172931
14,0,90,90,0.15555555555555556,0.1551152895392588,0.15555555555555556,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.10047747928873095,0.0012170833649794322,0.0,0.0960817825197349,0.0,0.0,0.0,0.0,0.0960817825197349,0.0960817825197349,0.0960817825197349,0.0960817825197349
16,0,90,90,0.17777777777777778,0.17728153759096188,0.17777777777777778,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.11650294278521772,0.0007362383277455349,0.0,0.10997107645403506,0.005092371831471574,0.005589438736985368,0.005385408987536435,0.0052992100935407805,0.10487870462256349,0.1043816377170497,0.10458566746649862,0.10467186636049428
17,0,90,90,0.18888888888888888,0.1883645027747719,0.18888888888888888,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.12355326869322726,0.0007421989989860362,0.0,0.11979343551575473,0.005470815113478434,0.00585690488867488,0.005699044292927822,0.005627175406681791,0.1143226204022763,0.11393653062707985,0.11409439122282691,0.11416626010907294
18,0,90,90,0.2,0.1994469914324574,0.2,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.13026001130370524,0.0004937291336042652,0.0,0.12870880828617126,0.006323390464776219,0.006918229167609839,0.006682987048611593,0.006563481294625964,0.12238541782139505,0.12179057911856142,0.12202582123755967,0.1221453269915453
19,0,90,90,0.2111111111111111,0.21052948009014286,0.2111111111111111,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.13702740905043095,0.0008422851182365606,0.0,0.13337664381698836,0.0,0.0,0.0,0.0,0.13337664381698836,0.13337664381698836,0.13337664381698836,0.13337664381698836
21,0,90,90,0.23333333333333334,0.23269358377428545,0.23333333333333334,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.15384525691764941,0.0009953334824757535,0.0,0.1471308593344706,0.0063367878379884035,0.006820574465103424,0.00663299004480059,0.006521682211877082,0.14079407149648218,0.14031028486936717,0.14049786928967,0.14060917712259352
22,0,90,90,0.24444444444444444,0.24377511937972182,0.24444444444444444,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.16153350975114059,0.0010241606013500228,0.0,0.15357037827821038,0.0,0.0021309998659027533,0.001647406195168527,0.0012741667096029543,0.15357037827821038,0.15143937841230762,0.15192297208304184,0.15229621156860743
23,0,90,90,0.25555555555555554,0.2548568138271997,0.25555555555555554,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.1679387191165801,0.0007479264466333683,0.0,0.16196530326444575,0.0,0.0,0.0,0.0,0.16196530326444575,0.16196530326444575,0.16196530326444575,0.16196530326444575
24,0,90,90,0.26666666666666666,0.26593787290651155,0.26666666666666666,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.17460853453571612,0.0007653397577616453,0.0,0.16742360032041811,0.0,0.0,0.0,0.0,0.16742360032041811,0.16742360032041811,0.16742360032041811,0.16742360032041811
26,0,90,90,0.28888888888888886,0.2880997528020729,0.28888888888888886,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.18846893019143424,0.0009324453572400505,0.0,0.18086501375516947,0.0,0.0,0.0,0.0,0.18086501375516947,0.18086501375516947,0.18086501375516947,0.18086501375516947
27,0,90,90,0.3,0.29918057361832245,0.3,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.19447406431962422,0.0006716517091048771,0.0,0.18943884160890984,0.0,0.0,0.0,0.0,0.18943884160890984,0.18943884160890984,0.18943884160890984,0.18943884160890984
28,0,90,90,0.3111111111111111,0.3102607590664059,0.3111111111111111,0.6429841633280544,0.21418825150123694,0.21441120771036087,0.20136158970924614,0.0012950306779559897,0.019782341029446364,0.19230928670278927,0.014805870361481796,0.014904429851911696,0.0148635555685976,0.01483750343010185,0.17750341634130748,0.17740485685087756,0.17744573113419165,0.17747178327268742
