uid,left_uid,right_uid,interval_frames,alpha_uid,beta_time,endpoint_fraction,endpoint_rotation_deg,endpoint_rotation_deg_per_second,gyro_endpoint_disagreement_deg,gyro_curvature_deg,original_translation_error_m,final_endpoint_linear_translation_error_m,causal_accel_shape_norm_m,causal_accel_plus_025_translation_error_m,causal_accel_plus_050_translation_error_m,causal_accel_plus_100_translation_error_m,causal_accel_minus_100_translation_error_m,original_rotation_error_deg,final_endpoint_slerp_rotation_error_deg,final_endpoint_imu_right_rotation_error_deg,final_endpoint_imu_left_rotation_error_deg,final_endpoint_imu_shape_right_rotation_error_deg,final_endpoint_imu_shape_left_rotation_error_deg,imu_right_improvement_deg,imu_left_improvement_deg,imu_shape_right_improvement_deg,imu_shape_left_improvement_deg
1,0,91,91,0.01098901098901099,0.011062888217858068,0.01098901098901099,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.001622328542334015,0.0011791917042672168,0.0011736270893083832,0.00024856212975612194,0.0011374131410799323,0.0010975641772277486,0.0010245451366480036,0.0013619323325679466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,91,91,0.02197802197802198,0.02209778469414725,0.02197802197802198,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.0028698267347229407,0.0011850094898279838,0.0011784126836438301,0.0004781295353048631,0.0011002152937382445,0.0010223873413413534,0.0008947671131378966,0.0015700644892084274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,91,91,0.03296703296703297,0.03309049643314248,0.03296703296703297,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.003204805167734822,0.0015245538248472772,0.0015201101199202524,0.0006934072474509576,0.0014442650270241964,0.001381173513019321,0.001315835470978252,0.001969449914230721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,91,91,0.04395604395604396,0.044082498522351445,0.04395604395604396,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.004431942863884956,0.0012073781855994785,0.0011972462525549309,0.000893304599161553,0.0010137341684637333,0.0008350454981140986,0.0005795139672357761,0.002043446584001646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,91,91,0.06593406593406594,0.06606602960091189,0.06593406593406594,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.0058476068360951506,0.0015860877200225396,0.0015847940511431807,0.0012426457528060843,0.0014728643896008424,0.00141986119852368,0.0015127529950469125,0.0024148009899623594,0.0,0.0004966585569287645,0.0,0.0,0.0,0.0,0.0004966585569287645,0.0004966585569287645,0.0004966585569287645,0.0004966585569287645
7,0,91,91,0.07692307692307693,0.07705755859026335,0.07692307692307693,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.005849304132269303,0.000961822143281906,0.0009576236556541746,0.0013970664334565055,0.0008093918692584467,0.0007931600646605487,0.0011441159254125834,0.002108267454288916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,91,91,0.08791208791208792,0.08804837792982857,0.08791208791208792,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.004736943474087255,0.0012660209292597727,0.0012602362089769203,0.001535200994435385,0.0010629058179198164,0.0009753634316890466,0.001215845261982949,0.002537916955337972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,91,91,0.0989010989010989,0.09903911841941754,0.0989010989010989,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.004600558482038776,0.0011589355547813633,0.0011571661590989955,0.001660950702409164,0.001017587590903495,0.0010357036471232294,0.0014770277881980013,0.0024540103147360007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,91,91,0.12087912087912088,0.1210194166489517,0.12087912087912088,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.004634467851376501,0.0011204550051032694,0.0011140908551697027,0.0018688622394006827,0.0008965788021075695,0.0008881826597319594,0.001438276917205089,0.002725342269527339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,91,91,0.13186813186813187,0.13200905323887316,0.13186813186813187,0.005411111221711826,0.0017895668740582,0.25057558898958493,0.004024606561326537,0.0015064036319864583,0.0014998927284385676,0.001953359863305732,0.0012471837995000528,0.001148318249204247,0.0015085837988775812,0.0031454583509936433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
