kappa,beta,algorithm,scenarios,fairness_nrmse_worst_scenario,fairness_rmse_updates_worst_scenario,jain_min_scenario,jain_regret_worst_scenario,cohort_ratio_min_scenario,cohort_ratio_max_scenario,entropy_ratio_min_scenario,shuffle_kl_worst_scenario,gradient_ratio_mean_worst_scenario,gradient_ratio_field_worst_scenario,temporal_w1_ratio_worst_scenario,admission_tracking_nrmse_worst_scenario,admission_pool_rate_cv_worst_scenario,budget_violation_worst_scenario,constraint_violation_factor,meets_all_quality_constraints
784,0.0,ercb_beta_0,3,0.1766271084504128,58.875702816804264,0.85176046050679,0.06231743599277917,0.9807995256916996,1.0327503677421441,1.0,0.0,1.1629635102801805,1.222892543498994,1.050304490667435,0.0,0.2014012566940555,0.0,6.231743599277917,False
784,0.0035,ercb_beta_0p0035,3,0.09714816508332845,32.382721694442814,0.8914473110580715,0.022630585441497604,0.9703270311701585,1.0273375935162095,0.9892599677620127,0.009888580593417195,1.6099371742146897,2.105305113267318,1.3318188775344626,0.0,0.2014012566940555,0.0,2.2630585441497604,False
784,0.004,ercb_beta_0p004,3,0.0919723104891056,30.65743682970187,0.8948042609654092,0.01927363553415997,0.9749300704503018,1.0294785714285715,0.9869069886256635,0.012224499114218747,1.6922825657563716,2.2586770547918187,1.387018202226631,0.0,0.2014012566940555,0.0,1.927363553415997,False
784,0.0045,ercb_beta_0p0045,3,0.08232462247386482,27.441540824621608,0.8975816853588525,0.016496211140716633,0.9727231575297607,1.0249555462653288,0.9839146472311866,0.015041569125108335,1.821321817329384,2.4638607309431237,1.419431073306464,0.0,0.2014012566940555,0.0,1.6496211140716632,False
784,0.005,ercb_beta_0p005,3,0.07681909878120986,25.606366260403284,0.9000748052209918,0.014003091278577334,0.9768683132857834,1.038471104404203,0.9811889143516029,0.01781504422498691,1.9108486618380838,2.635396996228533,1.4687401116401928,0.0,0.2014012566940555,0.0,1.4003091278577333,False
784,0.0055,ercb_beta_0p0055,3,0.07177312948831421,23.92437649610474,0.9027797946487675,0.011298101850801694,0.9765716610800023,1.0309688230170864,0.9781281386266257,0.020871396608458406,2.032820273198686,2.7992198971776836,1.52098025817898,0.0,0.2014012566940555,0.0,1.1298101850801694,False
784,0.006,ercb_beta_0p006,3,0.06577823359164925,21.92607786388308,0.904353562692584,0.009724333806985152,0.9734190750586628,1.0197766976613132,0.9750994806948156,0.023980603329171644,2.116240812637929,2.981909223314144,1.5493683060120347,0.0,0.2014012566940555,0.0,1.0581204063189644,False
784,0.0065,ercb_beta_0p0065,3,0.062079054212762816,20.693018070920935,0.9056678688641537,0.008410027635415467,0.9737435463974049,1.034174278495773,0.9713630293417802,0.027235270085869574,2.1578721755731696,3.0674380030190167,1.579768687176921,0.0,0.2014012566940555,0.0,1.0789360877865848,False
784,0.007,ercb_beta_0p007,3,0.057510823370715655,19.17027445690522,0.9070506224144641,0.007027274085105023,0.9727347880419109,1.0278906595838866,0.9681099512869537,0.030593269878515756,2.193268123806838,3.099163987552062,1.599613052291526,0.0,0.2014012566940555,0.0,1.096634061903419,False
800,0.0,ercb_beta_0,3,0.1765753773496321,58.85845911654403,0.8457227361390348,0.06148612692867384,0.9728506390679788,1.0284676223238622,1.0,0.0,1.0909327015557035,1.2439652968500006,1.0411421694067269,0.0,0.4609353051450193,0.0,6.148612692867384,False
800,0.0035,ercb_beta_0p0035,3,0.09380823051563798,31.269410171879326,0.8860537438972018,0.02115511917050687,0.9732481889655645,1.0390929051847981,0.9896094606752486,0.009680645186624886,1.633973749715135,2.027535424324655,1.3315656285243964,0.0,0.4609353051450193,0.0,2.1155119170506866,False
800,0.004,ercb_beta_0p004,3,0.08630219530570522,28.767398435235073,0.8892978473759177,0.017911015691790953,0.959884058294463,1.0308544035296114,0.9870779832894504,0.01227534040410188,1.7285980106557717,2.1754439421647866,1.3719536931681657,0.0,0.4609353051450193,0.0,1.7911015691790952,False
800,0.0045,ercb_beta_0p0045,3,0.08066253098530861,26.887510328436203,0.8922091306751205,0.014999732392588134,0.9788956779248043,1.0207002697869938,0.9841024547251637,0.015047648391124229,1.8272275460309844,2.3330261215010073,1.4158813491757385,0.0,0.4609353051450193,0.0,1.4999732392588134,False
800,0.005,ercb_beta_0p005,3,0.07467518512145502,24.891728373818342,0.8944924888546243,0.012716374213084325,0.9728457716419902,1.0278235826973643,0.9809935490464666,0.018066596067264767,1.965619748721197,2.5153101604957255,1.4811755458179303,0.0,0.4609353051450193,0.0,1.2716374213084325,False
800,0.0055,ercb_beta_0p0055,3,0.0698495705112838,23.283190170427932,0.8963855804772426,0.010823282590466065,0.9738834951456311,1.0261501907530965,0.9784000016884152,0.020880052575110105,2.0499773648641497,2.679394595149065,1.50943811800123,0.0,0.4609353051450193,0.0,1.0823282590466066,False
800,0.006,ercb_beta_0p006,3,0.06483025368578946,21.61008456192982,0.8982256748625015,0.008983188205207122,0.9743505414922596,1.0350926949346742,0.9753329992831516,0.023881266470219292,2.116032976650991,2.7829237537318146,1.5381067430670374,0.0,0.4609353051450193,0.0,1.0580164883254954,False
800,0.0065,ercb_beta_0p0065,3,0.06165736973870008,20.55245657956669,0.8991145790705027,0.008094283997205964,0.9627845826121688,1.0268247705331779,0.9724157292529054,0.026949086327191934,2.2289305723626835,2.951979660707591,1.5661936245175905,0.0,0.4609353051450193,0.0,1.1144652861813418,False
800,0.007,ercb_beta_0p007,3,0.05684126331029411,18.947087770098037,0.9004920570125737,0.00671680605513491,0.9712579416447203,1.0216798387096775,0.9682611229087053,0.030592255852865152,2.285160799469331,3.062267621443209,1.6033723738110166,0.0,0.4609353051450193,0.0,1.1425803997346655,False
816,0.0,ercb_beta_0,3,0.172347348171292,57.449116057097335,0.8409639112313277,0.0587535774772178,0.9768222554144884,1.0263067961165049,1.0,0.0,1.0877418642359562,1.1668297978797912,1.0449720676489733,0.0,0.459279326771846,0.0,5.87535774772178,False
816,0.0035,ercb_beta_0p0035,3,0.09283226499884334,30.94408833294778,0.8790499417225205,0.02066754698602502,0.9683964923269653,1.0268461756458445,0.9890969862954122,0.009794883883297063,1.4775905630106259,2.0014751088325395,1.3015937042521308,0.0,0.459279326771846,0.0,2.066754698602502,False
816,0.004,ercb_beta_0p004,3,0.0846571035672247,28.219034522408233,0.8829569754666315,0.01676051324191401,0.9724196486808664,1.0214133017409082,0.9867587224712275,0.012425345524794313,1.6002483008546464,2.228876447658267,1.3737380135722355,0.0,0.459279326771846,0.0,1.676051324191401,False
816,0.0045,ercb_beta_0p0045,3,0.07770751846644681,25.902506155482268,0.8854716249424904,0.01424586376605504,0.9757280520428016,1.0212481532761462,0.9842678917121659,0.014910762618360126,1.7108864555156813,2.4700941081210077,1.4116748891124284,0.0,0.459279326771846,0.0,1.424586376605504,False
816,0.005,ercb_beta_0p005,3,0.07365270639848565,24.550902132828547,0.8876589885799948,0.012058500128550741,0.9752330129280726,1.0257234534914235,0.9811769184897723,0.01788989221678506,1.7347788968825166,2.54280039700292,1.4385110251648616,0.0,0.459279326771846,0.0,1.205850012855074,False
816,0.0055,ercb_beta_0p0055,3,0.0673793692113078,22.4597897371026,0.8897037350229327,0.010013753685612813,0.965397417121555,1.0210704362888132,0.978328938523363,0.020974565976847444,1.8261765259665712,2.739931783031334,1.4923616434131834,0.0,0.459279326771846,0.0,1.0013753685612814,False
816,0.006,ercb_beta_0p006,3,0.06454654693461195,21.51551564487065,0.8909496245499068,0.00876786415863871,0.9693456614509246,1.0261517422373996,0.9748206804968397,0.024212100419389114,1.8804628754202326,2.813212763959963,1.5230143297263556,0.0,0.459279326771846,0.0,0.9745382089307038,True
816,0.0065,ercb_beta_0p0065,3,0.05873870994941685,19.57956998313895,0.892394518978954,0.007322969729591488,0.9782354925775978,1.0347068748366246,0.9717102305311507,0.027143769522218433,1.92824162945682,2.923301035356266,1.5493361177097666,0.0,0.459279326771846,0.0,0.9776577112713081,True
816,0.007,ercb_beta_0p007,3,0.055997741102647165,18.66591370088239,0.893380005198841,0.006337483509704539,0.9824128718093768,1.0295678944301845,0.9683658312543314,0.030558125858847686,2.000770172026013,3.0808008884187994,1.5706563520563122,0.0,0.459279326771846,0.0,1.0269336294729332,False
