scene,seed,selector,fixed_psnr,fixed_ssim,fixed_lpips,adam_steps,dense_updates,topology_events,late_cohort_mean,zero_tail
utmm_square-1,0,rr,19.8750800851,0.6641218056,0.4365385793,4067,2497,11,3.5357142857,1
utmm_square-1,0,ercb_relative_floor,20.2168658780,0.6782789648,0.4146999807,3906,2380,10,5.6428571429,1
utmm_square-1,1,rr,20.3421910368,0.6784445279,0.4218109629,3839,2339,10,3.1785714286,1
utmm_square-1,1,ercb_relative_floor,19.6924123558,0.6609986115,0.4438457226,3249,1973,9,3.9285714286,1
utmm_square-1,2,rr,19.8982014038,0.6627018070,0.4546423476,2320,1381,6,1.7142857143,1
utmm_square-1,2,ercb_relative_floor,20.1975626798,0.6779894198,0.4245697514,3242,1998,8,5.0357142857,1
