scenario,algorithm,sampler,admission,beta,kappa,seed,steps,batch_size,initial_views,final_views,target_final_views,mean_count,count_std,count_min,count_max,jain_index,oracle_jain_index,jain_regret,fairness_rmse_updates,fairness_nrmse,cohort_mid_first_ratio,admission_tracking_rmse,admission_tracking_nrmse,admission_max_lag,admission_max_overshoot,admission_rate_ratio,admission_pool_rate_cv,budget_violation,entropy_ratio,shuffle_kl_norm,duplicate_rate,temporal_w1,cohort_entropy,gradient_ratio_iid,gradient_ratio_smooth_order,gradient_ratio_abrupt_regime,gradient_ratio_mean,gradient_ratio_worst
short_stream,ercb_beta_0,softmax,token,0.0,816,8876616,6000,32,32,39,39,153.84615384615384,42.09484922601513,8,178,0.9303485271652466,0.9410586721850347,0.010710145019788064,6.59448098694503,0.04286412641514269,1.005952380952381,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.015092044697680955,0.9921355609551813,1.0466704318124216,0.9183544161846341,0.882533712248255,0.9491861867484369,1.0466704318124216
short_stream,ercb_beta_0,softmax,token,0.0,816,8876617,6000,32,32,39,39,153.84615384615384,41.98750636005079,6,178,0.9306787067536872,0.9410586721850347,0.010379965431347449,6.456958083517942,0.041970227542866625,1.0098231827111985,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.015009063059315281,0.992892390167397,0.9294782019128804,0.8879725034238819,0.8605792090220441,0.8926766381196022,0.9294782019128804
short_stream,ercb_beta_0,softmax,token,0.0,816,8876618,6000,32,32,39,39,153.84615384615384,41.94901573463359,9,178,0.9307969530051478,0.9410586721850347,0.010261719179886941,6.8049755552604525,0.04423234110919294,1.001908396946565,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.014493314886229966,0.9922081867005175,1.0044546339236688,0.9975459564249463,0.8595384049997593,0.9538463317827914,1.0044546339236688
short_stream,ercb_beta_0,softmax,token,0.0,816,8876619,6000,32,32,39,39,153.84615384615384,42.02291100470867,7,181,0.9305698716837204,0.9410586721850347,0.010488800501314288,6.850042111044057,0.04452527372178637,1.001923076923077,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.014951237524124953,0.9932244534734999,0.988319613377529,0.9411707002934446,1.1222963884530948,1.017262234041356,1.1222963884530948
short_stream,ercb_beta_0,softmax,token,0.0,816,8876620,6000,32,32,39,39,153.84615384615384,41.731460469283945,9,179,0.9314638233422972,0.9410586721850347,0.009594848842737536,6.1226774769850065,0.03979740360040254,1.0,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.014574917966338577,0.9925255856390167,1.002412146470699,0.83862453033764,0.8811493371699011,0.9073953379927467,1.002412146470699
short_stream,ercb_beta_0,softmax,token,0.0,816,8876621,6000,32,32,39,39,153.84615384615384,41.54487130032956,7,181,0.9320337675833995,0.9410586721850347,0.009024904601635186,5.931229820154264,0.03855299383100272,1.0117878192534382,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.014895094328309183,0.9925251203815287,0.9681330379781943,0.9143910368313507,0.8317794298832385,0.9047678348975944,0.9681330379781943
short_stream,ercb_beta_0,softmax,token,0.0,816,8876622,6000,32,32,39,39,153.84615384615384,42.4182704113956,7,177,0.9293500358186993,0.9410586721850347,0.011708636366335345,6.644836051690527,0.043191434335988425,0.9863281250000001,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.015563232488834126,0.9921608658015516,1.0438146126548362,1.2082257220344599,1.0316673859399181,1.094569240209738,1.2082257220344599
short_stream,ercb_beta_0,softmax,token,0.0,816,8876623,6000,32,32,39,39,153.84615384615384,42.04243183916328,8,180,0.9305098356440478,0.9410586721850347,0.010548836540986928,7.3169981234425325,0.04756048780237646,0.9883495145631068,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.01569177041022823,0.9923431493866736,1.0414154504190893,1.1029537057868022,1.047663265800752,1.0640108073355479,1.1029537057868022
short_stream,ercb_beta_0,softmax,token,0.0,816,8876624,6000,32,32,39,39,153.84615384615384,42.95766458672494,6,179,0.9276726132027294,0.9410586721850347,0.013386058982305271,7.146812091899652,0.04645427859734774,0.972972972972973,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.015482932834250375,0.9925313498003415,0.9571074848407947,1.0694011706120246,0.9907050987683912,1.005737918073737,1.0694011706120246
short_stream,ercb_beta_0,softmax,token,0.0,816,8876625,6000,32,32,39,39,153.84615384615384,41.743747243450116,9,186,0.9314262277827678,0.9410586721850347,0.009632444402266849,6.935601207001748,0.045081407845511366,0.9766990291262135,0.0,0.0,-0.0,0.0,1.0,0.459279326771846,0.0,1.0,0.0,0.0,0.014609076459714822,0.992723691354793,1.0449860427752602,0.9657381126237489,0.8564010728162997,0.9557084094051028,1.0449860427752602
