kappa,beta,algorithm,scenarios,fairness_nrmse_worst_scenario,fairness_rmse_updates_worst_scenario,jain_min_scenario,jain_regret_worst_scenario,cohort_ratio_min_scenario,cohort_ratio_max_scenario,entropy_ratio_min_scenario,shuffle_kl_worst_scenario,gradient_ratio_mean_worst_scenario,gradient_ratio_field_worst_scenario,temporal_w1_ratio_worst_scenario,admission_tracking_nrmse_worst_scenario,admission_pool_rate_cv_worst_scenario,budget_violation_worst_scenario,constraint_violation_factor,meets_all_quality_constraints
640,0.0,ercb_beta_0,3,0.2234944241939804,67.04832725819412,0.8183957389282341,0.08030952635291744,0.9774076454479406,1.0335275389263305,1.0,0.0,1.122677481402985,1.2342350745181916,1.050996884137821,0.0,0.0953484050082866,0.0,8.030952635291744,False
640,0.001,ercb_beta_0p001,3,0.19120088330804796,57.36026499241439,0.8350735089941203,0.06363175628703131,0.9621937796689378,1.025760377940224,0.9988349809330869,0.000890568256023901,1.1748643683390605,1.3133222651051188,1.064524806273567,0.0,0.0953484050082866,0.0,6.363175628703131,False
640,0.002,ercb_beta_0p002,3,0.16395781471661786,49.18734441498536,0.8484978616719511,0.05020740360920048,0.9683723209850259,1.0416116772469093,0.9960124314715969,0.0034400375028485488,1.3878770255026043,1.6506480505429917,1.1712169885792119,0.0,0.0953484050082866,0.0,5.020740360920048,False
640,0.003,ercb_beta_0p003,3,0.13759743667450078,41.27923100235023,0.8603153039660054,0.038389961315146215,0.9613523862277555,1.0277136575017212,0.9918869165610062,0.007335213390951147,1.7034298813864612,2.219915099180044,1.3164605625360242,0.0,0.0953484050082866,0.0,3.8389961315146213,False
640,0.004,ercb_beta_0p004,3,0.11993281840252096,35.979845520756285,0.8700727727213228,0.028632492559828793,0.969799091524972,1.0180282288043567,0.9873042449544733,0.012076370389715955,1.9786084097834276,2.7064617788428142,1.4426662199145626,0.0,0.0953484050082866,0.0,2.8632492559828795,False
640,0.005,ercb_beta_0p005,3,0.1038094736584755,31.14284209754265,0.8770114679013074,0.021693797379844174,0.9705150237641309,1.0230406235120166,0.9814247400008586,0.017736240349427744,2.2814649678656265,3.221131837223275,1.55387631162547,0.0,0.0953484050082866,0.0,2.1693797379844173,False
640,0.006,ercb_beta_0p006,3,0.08938705140302683,26.816115420908048,0.8822948791027372,0.016410386178414352,0.9810763123070136,1.0266028170920707,0.9747743385080185,0.02413168047624274,2.5882222407507034,3.7786236181785475,1.6602748909499059,0.0,0.0953484050082866,0.0,1.6410386178414351,False
640,0.0075,ercb_beta_0p0075,3,0.07388419298596897,22.165257895790695,0.8880230117982886,0.01068225348286297,0.9751404205231028,1.0259254155359565,0.9647033447183498,0.0340886620232684,2.9784987896021633,4.4163573797004245,1.7920950667041278,0.0,0.0953484050082866,0.0,1.4892493948010816,False
640,0.01,ercb_beta_0p01,3,0.05643946435246383,16.93183930573915,0.8930329292959832,0.005672335985168331,0.9742392156152184,1.0247832682361653,0.9466753705447433,0.051609198767826846,3.416628772940496,5.183857286713054,1.9163129886532182,0.0,0.0953484050082866,0.0,1.7279524289043513,False
640,0.0125,ercb_beta_0p0125,3,0.04626830986832896,13.880492960498687,0.8950716032840866,0.0036336619970649127,0.9801536453654349,1.027718223583461,0.9295355232094415,0.06935389910315515,3.659828937933908,5.548211382070091,1.9921994428721188,0.0,0.0953484050082866,0.0,1.8494037940233639,False
640,0.015,ercb_beta_0p015,3,0.037429945770546896,11.22898373116407,0.8963765771891348,0.002328688092016856,0.9772191668697607,1.0223705704950992,0.9126782949854869,0.08577755452158742,3.903918645559615,5.93268700601065,2.0437082939433284,0.0,0.0953484050082866,0.0,1.9775623353368834,False
640,0.02,ercb_beta_0p02,3,0.026487240807220293,7.938723517332993,0.897457503400014,0.0013199644379648988,0.9763217252571932,1.0205903790087465,0.8821858984004121,0.11638539156340877,4.1196932027452915,6.217230804653312,2.1019490600885593,0.0,0.0953484050082866,0.0,2.0724102682177707,False
640,inf,ercb_beta_inf,3,0.0,0.0,0.8987052652811516,0.0,0.9984662576687117,1.001536098310292,0.5097517901041078,0.4902482098958923,4.538252014677587,6.911849719910575,2.2068551699577545,0.0,0.0953484050082866,0.0,2.3039499066368583,False
768,0.0,ercb_beta_0,3,0.1842774571278925,60.30898596912846,0.8408403886464013,0.0646486861248621,0.9748625780624499,1.0327345309381237,1.0,0.0,1.105670662249552,1.1968066499683292,1.0473252485300255,0.0,0.2014012566940555,0.0,6.46486861248621,False
768,0.001,ercb_beta_0p001,3,0.15388545318431138,50.36251195122917,0.8564344317437638,0.049054643027499616,0.971173050615595,1.0256033154383313,0.998777241826773,0.0010016120157370601,1.1281990022230841,1.2331734435637827,1.0727968989385683,0.0,0.2014012566940555,0.0,4.905464302749961,False
768,0.002,ercb_beta_0p002,3,0.12922073415845114,42.29042208822037,0.8680857143069769,0.03740336046428648,0.97035960591133,1.0236423932038767,0.9961795590079235,0.0034340233292109415,1.2804450051977727,1.4785281472393128,1.1696761326264706,0.0,0.2014012566940555,0.0,3.740336046428648,False
768,0.003,ercb_beta_0p003,3,0.10951689994141231,35.84189452628039,0.8779447448764307,0.02754432989483266,0.9639559816086535,1.0280871990957843,0.9920813480161111,0.007321767530267721,1.5518894229729738,1.9266125039028867,1.3023898810597982,0.0,0.2014012566940555,0.0,2.754432989483266,False
768,0.004,ercb_beta_0p004,3,0.09246524230965827,30.26135202861543,0.885861182467707,0.01962789230355643,0.9790345598415877,1.027570388043828,0.9870465043211046,0.012240886165378712,1.7579756506492596,2.317561294737269,1.3964674106404693,0.0,0.2014012566940555,0.0,1.9627892303556431,False
768,0.005,ercb_beta_0p005,3,0.08013661208799541,26.22652759243486,0.8909813295231162,0.014507745248147191,0.9701510836290531,1.02389015367103,0.9809401167781249,0.017935038658157054,1.9511747886683861,2.5552015532019374,1.4739767771204075,0.0,0.2014012566940555,0.0,1.450774524814719,False
