kappa,beta,algorithm,scenarios,fairness_nrmse_worst_scenario,fairness_rmse_updates_worst_scenario,jain_min_scenario,jain_regret_worst_scenario,cohort_ratio_min_scenario,cohort_ratio_max_scenario,oracle_cohort_ratio_min_scenario,oracle_cohort_ratio_max_scenario,entropy_ratio_min_scenario,shuffle_kl_worst_scenario,gradient_ratio_mean_worst_scenario,gradient_ratio_field_worst_scenario,temporal_w1_ratio_worst_scenario,admission_tracking_nrmse_worst_scenario,admission_pool_rate_cv_worst_scenario,budget_violation_worst_scenario,constraint_violation_factor,meets_all_quality_constraints
16,0.3,ercb_beta_0p3,3,0.2538717369881155,4.033266783571119,0.9304215274268265,0.06498601799142491,0.707116471099522,0.7878401092551738,1.0,1.0,0.7684212816373521,0.22910846522024791,6.883769906172786,10.390716702045214,3.2700978866315054,0.0,0.0,0.0,6.498601799142491,False
16,0.5,ercb_beta_0p5,3,0.16057879062408803,2.551119356781628,0.9654164323939511,0.027843177182203176,0.7913289075238761,0.9045002000088893,1.0,1.0,0.5856242345524286,0.41261275818875615,8.664713092716383,13.301511437714707,3.748956364031775,0.0,0.0,0.0,4.433837145904902,False
16,1.0,ercb_beta_1,3,0.08262320887904265,1.3126370342654612,0.9843096362723959,0.007838562135298965,0.8904577691811735,0.9676723438767234,1.0,1.0,0.32647295947943417,0.6685070479655033,10.324485387726048,16.03204190492379,4.121368589421149,0.0,0.0,0.0,5.34401396830793,False
16,inf,ercb_beta_inf,3,0.0,0.0,0.9912551470923513,0.0,0.987109375,1.0,1.0,1.0,0.043370622577797995,0.956629377422202,11.92714108422722,18.765173560141914,4.442250977580986,0.0,0.0,0.0,21.904227874430322,False
24,0.0,ercb_beta_0,3,0.98726887479746,23.44437961260459,0.5022034651766178,0.49343754473082146,0.12895060241384487,0.21380847493182295,1.0,1.0,1.000000000000001,-1.054287070793527e-15,1.0389762542393546,1.0995765469055803,1.0140953203949146,0.0,1.4422220147876727e-16,0.0,49.34375447308214,False
24,0.005,ercb_beta_0p005,3,0.8999200346212882,21.370132748262783,0.5475657207008121,0.4480752892066272,0.16780810604340016,0.2564537585686069,1.0,1.0,0.998986457294665,0.0008779000358733618,1.1063409771182402,1.219946345065416,1.0374559571864637,0.0,1.4422220147876727e-16,0.0,44.80752892066272,False
24,0.01,ercb_beta_0p01,3,0.8371774508808949,19.880203319071384,0.582335310069213,0.4133056998382263,0.19500342937740137,0.2682833917265966,1.0,1.0,0.9968543085567886,0.0027846032212707405,1.137003700894291,1.2657826852961684,1.0745949950023748,0.0,1.4422220147876727e-16,0.0,41.33056998382263,False
24,0.02,ercb_beta_0p02,3,0.7402888284793309,17.579418090538198,0.6392633216414272,0.3563776882660121,0.26729648539233125,0.3404928568504646,1.0,1.0,0.9906470386411865,0.008929888211198464,1.3180712522235534,1.5996155397626166,1.2002133140123892,0.0,1.4422220147876727e-16,0.0,35.63776882660121,False
24,0.03,ercb_beta_0p03,3,0.6706028948927533,15.924607002730287,0.6822638379814454,0.31337717192599396,0.31287262348591494,0.3930172413793103,1.0,1.0,0.9824679252052667,0.016782679343934324,1.5979992085417276,2.0613035578145937,1.3617150223499572,0.0,1.4422220147876727e-16,0.0,31.337717192599396,False
24,0.05,ercb_beta_0p05,3,0.564500052218834,13.405014432637222,0.7494605410393972,0.24618046886804212,0.40034651447207503,0.49661417322834644,1.0,1.0,0.962825935032927,0.035458564607427245,2.245679997190523,3.2268608720296554,1.7026469077219,0.0,1.4422220147876727e-16,0.0,24.618046886804212,False
24,0.075,ercb_beta_0p075,3,0.4755277091387141,11.292214728887672,0.8056643590602962,0.18997665084714307,0.4865800976178335,0.5872159090909091,1.0,1.0,0.9356500316311432,0.06315592004061096,3.0876036956671777,4.650415391319273,2.101817996932274,0.0,1.4422220147876727e-16,0.0,18.997665084714306,False
24,0.1,ercb_beta_0p1,3,0.4074494899675968,9.675581555958763,0.8471918582693716,0.14844915163806774,0.5701053391439189,0.6750433459735785,1.0,1.0,0.9045212990046659,0.09393313013845801,3.963115291778687,6.181382775377343,2.432279251596708,0.0,1.4422220147876727e-16,0.0,14.844915163806773,False
24,0.15,ercb_beta_0p15,3,0.30843672064119704,7.324354843722357,0.9013696450043882,0.0930559494257903,0.6508516081871345,0.7562515964240102,1.0,1.0,0.8347236930329129,0.16256567367107283,5.354647912851304,8.595356681636678,2.9275594434388443,0.0,1.4422220147876727e-16,0.0,9.305594942579031,False
