path,allocated_bytes,size_bytes,reason
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria12F_zerotail_normalized_odds125_K8_r4_s0/point_cloud/iteration_18000/point_cloud.ply,88420352,88420039,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria12F_zerotail_normalized_odds200_K8_r4_s0/point_cloud/iteration_12000/point_cloud.ply,76619776,76614771,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria12F_zerotail_normalized_odds200_K8_r4_s0/point_cloud/iteration_18000/point_cloud.ply,82976768,82972779,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria12F_staged_interval_size_K32_b002_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,85651456,85649835,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria305_interval_K32_b0005_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,172470272,172466399,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria12F_interval_K32_b0005_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,82685952,82683407,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria305_interval_size_K32_b002_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,166694912,166692391,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria1253_interval_K32_b00025_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,197242880,197235591,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria305_staged_interval_size_K32_b002_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,170315776,170314651,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria1253_interval_K32_b0005_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,197890048,197886751,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/interval_runs/aria1253_interval_K32_b0_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,194039808,194039651,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
